id,categoria,pergunta,documentos_esperados,escopo_esperado,mistura_permitida,referencia_esperada,resposta_esperada_ground_truth,deve_responder,observacao
Q001,doutrinaria_geral,O que significa ser justificado diante de Deus?,Confissão de Fé de Westminster; Catecismo de Heidelberg; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional,reformado_geral,sim,Seções/perguntas sobre justificação,"Ser justificado significa ter os pecados perdoados e ser aceito por Deus como justo, não por mérito ou obra própria, mas por causa da obediência e da satisfação de Cristo, cuja justiça é imputada ao pecador e recebida pela fé.",sim,Avaliar se a síntese respeita as fontes citadas separadamente.
Q002,doutrinaria_geral,A salvação depende das obras humanas?,Confissão de Fé de Westminster; Catecismo de Heidelberg; Cânones de Dort; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional,reformado_geral,sim,"Seções sobre salvação, fé, graça, boas obras e justificação","Não. A salvação é concedida gratuitamente pela graça de Deus, mediante a fé, e não é conquistada por obras humanas. As boas obras são frutos e evidências de uma fé verdadeira, mas são imperfeitas e não podem comprar o favor de Deus nem a salvação.",sim,Mistura é permitida apenas se os documentos forem citados de forma clara.
Q003,doutrinaria_geral,Qual é o papel das Escrituras na fé cristã?,Confissão de Fé de Westminster; Catecismo de Heidelberg; Cânones de Dort; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional,reformado_geral,sim,"Seções sobre Escrituras, revelação e autoridade bíblica","As Escrituras são a Palavra inspirada de Deus e constituem a regra suficiente, certa e infalível para a salvação, a fé, a obediência e a vida cristã. Elas contêm todo o conselho necessário de Deus e são a autoridade final nas controvérsias religiosas, embora sua compreensão salvadora dependa da iluminação do Espírito Santo.",sim,Verificar se não confunde documentos confessionais distintos.
Q004,doutrinaria_geral,O que os documentos ensinam sobre a pessoa e obra de Cristo?,Confissão de Fé de Westminster; Catecismo de Heidelberg; Cânones de Dort; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional,reformado_geral,sim,"Seções sobre Cristo, mediador, encarnação, redenção e expiação","Jesus Cristo é verdadeiro Deus e verdadeiro homem, com as duas naturezas unidas em uma só pessoa, e é o único Mediador entre Deus e os homens. Ele cumpriu perfeitamente a lei, sofreu, morreu, ressuscitou, subiu ao céu e intercede pelos crentes. Por sua perfeita obediência e pelo sacrifício de si mesmo, satisfez a justiça divina, obteve reconciliação e uma herança eterna e aplica eficazmente a redenção aos que lhe pertencem.",sim,Avaliar se a resposta não usa linguagem genérica sem evidência documental.
Q005,doutrinaria_geral,Como os documentos explicam a relação entre pecado humano e graça de Deus?,Confissão de Fé de Westminster; Catecismo de Heidelberg; Cânones de Dort; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional,reformado_geral,sim,"Seções sobre queda, pecado, graça, chamado eficaz e salvação","Toda a humanidade caiu em pecado, tornou-se culpada diante de Deus e merecedora da morte, sendo incapaz de alcançar a salvação por si mesma. A graça de Deus manifesta-se no envio de Cristo, na pregação do Evangelho e na concessão da fé e da regeneração pelo Espírito Santo; assim, a salvação é uma dádiva de Deus, e não resultado da vontade ou do mérito humano.",sim,Boa pergunta para testar recuperação semântica de termos doutrinários próximos.
Q006,doutrinaria_especifica,"De acordo com a Confissão de Fé Congregacional, a salvação pode ser perdida?",Confissão de Fé Congregacional,congregacional_confessional,não,Capítulo/seção sobre preservação ou perseverança do crente na fé,"Não. De acordo com a Confissão de Fé Congregacional, aqueles que foram verdadeiramente aceitos em Cristo, chamados e santificados pelo Espírito não podem cair total e definitivamente do estado da graça, mas perseverarão até o fim e serão eternamente salvos. Eles podem cair temporariamente em pecados graves e sofrer suas consequências, porém continuam guardados pelo poder de Deus mediante a fé.",sim,Avaliar mistura indevida com outros documentos reformados.
Q007,doutrinaria_especifica,O que a Confissão Batista de Londres de 1689 ensina sobre o batismo?,Confissão Batista de Londres de 1689,batista_confessional,não,Capítulo sobre batismo,"De acordo com a Confissão de Fé Batista de Londres de 1689, o batismo é uma ordenança do Novo Testamento instituída por Jesus Cristo, que representa a comunhão do batizado com a morte e a ressurreição de Cristo, sua união com Ele, a remissão dos pecados e sua consagração a Deus para viver em novidade de vida. Devem ser batizadas somente as pessoas que professam arrependimento, fé e obediência a Cristo. O batismo deve ser realizado com água, em nome do Pai, do Filho e do Espírito Santo, mediante a imersão da pessoa.",sim,Pergunta sensível para mistura denominacional.
Q008,doutrinaria_especifica,"Segundo o Catecismo de Heidelberg, qual é o consolo do cristão?",Catecismo de Heidelberg,reformado_catequetico,não,Pergunta 1 do Catecismo de Heidelberg,"De acordo com o Catecismo de Heidelberg, o único consolo do cristão é não pertencer a si mesmo, mas, de corpo e alma, na vida e na morte, pertencer ao seu fiel Salvador Jesus Cristo. Cristo pagou completamente por seus pecados, libertou-o do domínio do diabo, guarda-o pela vontade do Pai, assegura-lhe a vida eterna pelo Espírito Santo e o torna disposto a viver para Ele.",sim,Avaliar se o sistema não responde com uma síntese genérica sobre conforto espiritual.
Q009,doutrinaria_especifica,O que os Cânones de Dort afirmam sobre a eleição?,Cânones de Dort,reformado_confessional,não,Capítulos/artigos sobre eleição divina,"De acordo com os Cânones de Dort, a eleição é o propósito imutável de Deus pelo qual, antes da fundação do mundo, segundo sua vontade soberana e por pura graça, Ele escolheu em Cristo um número definido de pessoas para a salvação. Ela não se baseia em fé prevista, obras, santidade ou qualidades humanas; ao contrário, a fé, a santidade e os demais dons salvadores são frutos da eleição. Por ser obra do Deus imutável, a eleição não pode ser anulada nem seus eleitos rejeitados.",sim,Testa recuperação de documento confessional específico.
Q010,doutrinaria_especifica,"Segundo a Confissão de Fé de Westminster, o que é justificação?",Confissão de Fé de Westminster,reformado_confessional,não,Capítulo sobre justificação,"Segundo a Confissão de Fé de Westminster, justificação é o ato gratuito de Deus pelo qual Ele perdoa os pecados e aceita o pecador como justo, não por algo realizado nele ou por ele, mas exclusivamente por causa de Cristo. Deus imputa ao pecador a obediência e a satisfação de Cristo, recebidas pela fé, que é o único instrumento da justificação e também um dom de Deus.",sim,Avaliar aderência ao documento explicitado na pergunta.
