id;categoria;pergunta;documentos_esperados;escopo_esperado;mistura_permitida;referencia_esperada;resposta_esperada_ground_truth;deve_responder;observacao
Q001;doutrinaria_geral;O que significa ser justificado diante de Deus?;"Confissão de Fé de Westminster; Catecismo de Heidelberg; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional";reformado_geral;sim;Seções/perguntas sobre justificação;Ser justificado significa ter os pecados perdoados e ser aceito por Deus como justo, não por mérito ou obra própria, mas por causa da obediência e da satisfação de Cristo, cuja justiça é imputada ao pecador e recebida pela fé.;sim;Avaliar se a síntese respeita as fontes citadas separadamente.
Q002;doutrinaria_geral;A salvação depende das obras humanas?;"Confissão de Fé de Westminster; Catecismo de Heidelberg; Cânones de Dort; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional";reformado_geral;sim;Seções sobre salvação, fé, graça, boas obras e justificação;Não. A salvação é concedida gratuitamente pela graça de Deus, mediante a fé, e não é conquistada por obras humanas. As boas obras são frutos e evidências de uma fé verdadeira, mas são imperfeitas e não podem comprar o favor de Deus nem a salvação.;sim;Mistura é permitida apenas se os documentos forem citados de forma clara.
Q003;doutrinaria_geral;Qual é o papel das Escrituras na fé cristã?;"Confissão de Fé de Westminster; Catecismo de Heidelberg; Cânones de Dort; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional";reformado_geral;sim;Seções sobre Escrituras, revelação e autoridade bíblica;As Escrituras são apresentadas como a Palavra de Deus escrita e como a regra suficiente, certa e infalível para o conhecimento da salvação, da fé e da obediência. Elas preservam e propagam a verdade, estabelecem e confortam a Igreja, contêm todo o conselho de Deus necessário para sua glória, a salvação, a fé e a vida, e nada deve ser acrescentado a elas por novas revelações ou tradições humanas. A compreensão salvadora do que é revelado na Palavra depende da iluminação interior do Espírito Santo.;sim;Verificar se não confunde documentos confessionais distintos.
Q004;doutrinaria_geral;O que os documentos ensinam sobre a pessoa e obra de Cristo?;"Confissão de Fé de Westminster; Catecismo de Heidelberg; Cânones de Dort; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional";reformado_geral;sim;Seções sobre Cristo, mediador, encarnação, redenção e expiação;Jesus Cristo é verdadeiro Deus e verdadeiro homem, com as duas naturezas unidas em uma só pessoa, e é o único Mediador entre Deus e os homens. Ele cumpriu perfeitamente a lei, sofreu, morreu, ressuscitou, subiu ao céu e intercede pelos crentes. Por sua perfeita obediência e pelo sacrifício de si mesmo, satisfez a justiça divina, obteve reconciliação e uma herança eterna e aplica eficazmente a redenção aos que lhe pertencem.;sim;Avaliar se a resposta não usa linguagem genérica sem evidência documental.
Q005;doutrinaria_geral;Como os documentos explicam a relação entre pecado humano e graça de Deus?;"Confissão de Fé de Westminster; Catecismo de Heidelberg; Cânones de Dort; Confissão Batista de Londres de 1689; Confissão de Fé Congregacional";reformado_geral;sim;Seções sobre queda, pecado, graça, chamado eficaz e salvação;Os documentos relacionam o pecado humano à necessidade da graça salvadora de Deus. A queda trouxe culpa, corrupção e inclinação ao mal para a humanidade, tornando o ser humano incapaz de restaurar-se por si mesmo diante de Deus. A graça se manifesta no pacto da graça, pelo qual Deus oferece vida e salvação em Cristo aos pecadores, concede fé e arrependimento pelo Espírito Santo e liberta os que estão sujeitos às consequências espirituais, temporais e eternas do pecado.;sim;Boa pergunta para testar recuperação semântica de termos doutrinários próximos.
Q006;doutrinaria_especifica;De acordo com a Confissão de Fé Congregacional, a salvação pode ser perdida?;Confissão de Fé Congregacional;congregacional_confessional;não;Capítulo/seção sobre preservação ou perseverança do crente na fé;Não. De acordo com a Confissão de Fé Congregacional, aqueles que foram verdadeiramente aceitos em Cristo, chamados e santificados pelo Espírito não podem cair total e definitivamente do estado da graça, mas perseverarão até o fim e serão eternamente salvos. Eles podem cair temporariamente em pecados graves e sofrer suas consequências, porém continuam guardados pelo poder de Deus mediante a fé.;sim;Avaliar mistura indevida com outros documentos reformados.
Q007;doutrinaria_especifica;O que a Confissão Batista de Londres de 1689 ensina sobre o batismo?;Confissão Batista de Londres de 1689;batista_confessional;não;Capítulo sobre batismo;De acordo com a Confissão de Fé Batista de Londres de 1689, o batismo é uma ordenança do Novo Testamento instituída por Jesus Cristo, que representa a comunhão do batizado com a morte e a ressurreição de Cristo, sua união com Ele, a remissão dos pecados e sua consagração a Deus para viver em novidade de vida. Devem ser batizadas somente as pessoas que professam arrependimento, fé e obediência a Cristo. O batismo deve ser realizado com água, em nome do Pai, do Filho e do Espírito Santo, mediante a imersão da pessoa.;sim;Pergunta sensível para mistura denominacional.
Q008;doutrinaria_especifica;Segundo o Catecismo de Heidelberg, qual é o consolo do cristão?;Catecismo de Heidelberg;reformado_catequetico;não;Pergunta 1 do Catecismo de Heidelberg;De acordo com o Catecismo de Heidelberg, o único consolo do cristão é não pertencer a si mesmo, mas, de corpo e alma, na vida e na morte, pertencer ao seu fiel Salvador Jesus Cristo. Cristo pagou completamente por seus pecados, libertou-o do domínio do diabo, guarda-o pela vontade do Pai, assegura-lhe a vida eterna pelo Espírito Santo e o torna disposto a viver para Ele.;sim;Avaliar se o sistema não responde com uma síntese genérica sobre conforto espiritual.
Q009;doutrinaria_especifica;O que os Cânones de Dort afirmam sobre a eleição?;Cânones de Dort;reformado_confessional;não;Capítulos/artigos sobre eleição divina;Nos Cânones de Dort, a eleição não se baseia em fé prevista, obediência, santidade ou qualquer boa qualidade humana como causa ou condição para alguém ser eleito. A eleição é graciosa e tem como causa somente o beneplácito de Deus, que escolhe certas pessoas dentre a multidão dos pecadores. A fé, a obediência, a santidade e os demais dons salvadores são frutos e efeitos da eleição. Os eleitos recebem, no tempo oportuno, a certeza de sua eterna e imutável eleição por meio dos frutos indicados na Palavra, como fé verdadeira em Cristo, temor filial, tristeza piedosa pelo pecado e fome e sede de justiça.;sim;Testa recuperação de documento confessional específico.
Q010;doutrinaria_especifica;Segundo a Confissão de Fé de Westminster, o que é justificação?;Confissão de Fé de Westminster;reformado_confessional;não;Capítulo sobre justificação;"Segundo a Confissão de Fé de Westminster, Deus justifica livremente os que chama eficazmente: não infundindo justiça neles, mas perdoando seus pecados e aceitando suas pessoas como justas. Essa justificação não se baseia em algo operado na pessoa, em obras, na própria fé como justiça ou em qualquer obediência evangélica, mas somente em Cristo. Deus imputa aos justificados a obediência e a satisfação de Cristo, recebidas pela fé, pela qual eles recebem e descansam em Cristo e em sua justiça; essa fé não procede deles mesmos, mas é dom de Deus.";sim;Avaliar aderência ao documento explicitado na pergunta.
